org_id,supplier_name,name_with_id
2523,Tuolumne Utilities District - Cedar Ridge Water System,Tuolumne Utilities District - Cedar Ridge Water System - 2523
2523,Tuolumne Utilities District - Tuolumne Water System,Tuolumne Utilities District - Tuolumne Water System - 2523
2132,Hood Water Maintenance District [Sws],Hood Water Maintenance District [Sws] - 2132
2132,Northgate 880 [Sws],Northgate 880 [Sws] - 2132
2132,East Walnut Grove [Sws],East Walnut Grove [Sws] - 2132
495,Casitas Municipal Water District,Casitas Municipal Water District - 495
405,Cal - Water Service Co. - Marysville,Cal - Water Service Co. - Marysville - 405
1792,Olivehurst Public Utility District,Olivehurst Public Utility District - 1792
1427,Linda County Water District,Linda County Water District - 1427
2523,Tuolumne Utilities District - Sonora - Jamestown Water System,Tuolumne Utilities District - Sonora - Jamestown Water System - 2523
428,California Water Service Co - Westlake,California Water Service Co - Westlake - 428
1057,Golden State Water Company - Simi Valley,Golden State Water Company - Simi Valley - 1057
2683,City Of West Sacramento,City Of West Sacramento - 2683
376,Cal American Water Co,Cal American Water Co - 376
2523,Tuolumne Utilities District - Upper Basin Water System,Tuolumne Utilities District - Upper Basin Water System - 2523
2523,Tuolumne Utilities District - Columbia Water System,Tuolumne Utilities District - Columbia Water System - 2523
1792,Plumas Lake,Plumas Lake - 1792
495,Ojai Water System,Ojai Water System - 495
1109,Groveland Community Serv District,Groveland Community Serv District - 1109
1487,City Of Los Banos,City Of Los Banos - 1487
2381,Stockton East Water District,Stockton East Water District - 2381
2057,Rincon Del Diablo Mwd Id - 1,Rincon Del Diablo Mwd Id - 1 - 2057
13,City Of Adelanto,City Of Adelanto - 13
1547,Marina Coast Water District,Marina Coast Water District - 1547
25,Alco Water Service,Alco Water Service - 25
1030,Golden State Water Co - Barstow,Golden State Water Co - Barstow - 1030
2793,Yucaipa Valley Water District,Yucaipa Valley Water District - 2793
1964,City Of Poway,City Of Poway - 1964
1539,City Of Manteca,City Of Manteca - 1539
373,Cal Am Water Coronado,Cal Am Water Coronado - 373
2602,Vallecitos Water District,Vallecitos Water District - 2602
1793,Olivenhain Mwd,Olivenhain Mwd - 1793
2218,City Of Santa Maria Utilities Department,City Of Santa Maria Utilities Department - 2218
417,Cwsc Salinas,Cwsc Salinas - 417
2035,Redlands City Mud - Water Div,Redlands City Mud - Water Div - 2035
1166,Hesperia Water District,Hesperia Water District - 1166
851,City Of Escondido,City Of Escondido - 851
1589,City Of Merced,City Of Merced - 1589
1821,Otay Water District,Otay Water District - 1821
1154,Helix Water District,Helix Water District - 1154
